LOCAL-010125,União das freguesias de Travassô e Óis da Ribeira,38,2.60,24,1.64,1,1462,72.95,0,28.25,29.50,413,0,33.79,35.29,494,0,17.03,17.79,249,0,5.40,5.64,79,0,4.86,5.07,71,0,0.96,1.00,14,0,1.57,1.64,23,0,0.75,0.79,11,0,1.44,1.50,21,0,0.00,0.00,0,0,0.68,0.71,10,0,0.00,0.00,0,0,0.14,0.14,2,0,0.55,0.57,8,0,0.07,0.07,1,0,0.27,0.29,4,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,31,0,3092,3092
LOCAL-010126,"União das freguesias de Trofa, Segadães e Lamas do Vouga",49,1.80,25,0.92,1,2724,67.56,0,29.37,30.19,800,0,32.34,33.25,881,0,19.09,19.62,520,0,4.48,4.60,122,0,3.60,3.70,98,0,2.46,2.53,67,0,2.06,2.11,56,0,1.43,1.47,39,0,1.06,1.09,29,0,0.00,0.00,0,0,0.44,0.45,12,0,0.00,0.00,0,0,0.29,0.30,8,0,0.40,0.42,11,0,0.11,0.11,3,0,0.11,0.11,3,0,0.04,0.04,1,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,31,0,3092,3092
LOCAL-010127,União das freguesias do Préstimo e Macieira de Alcoba,6,1.32,1,0.22,1,454,60.70,0,28.41,28.86,129,0,37.44,38.03,170,0,21.37,21.70,97,0,3.08,3.13,14,0,3.08,3.13,14,0,0.66,0.67,3,0,1.98,2.01,9,0,0.66,0.67,3,0,1.54,1.57,7,0,0.00,0.00,0,0,0.22,0.22,1,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,31,0,3092,3092
LOCAL-010200,Albergaria-a-Velha,249,1.71,175,1.20,6,14562,64.87,0,23.44,24.15,3414,0,37.31,38.43,5433,0,21.41,22.05,3117,0,4.09,4.21,595,0,3.19,3.29,465,0,1.02,1.05,149,0,1.98,2.04,288,0,1.52,1.57,222,0,1.88,1.94,274,0,0.00,0.00,0,0,0.53,0.54,77,0,0.00,0.00,0,0,0.18,0.18,26,0,0.29,0.30,42,0,0.14,0.14,20,0,0.05,0.06,8,0,0.05,0.06,8,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,31,0,3092,3092
LOCAL-010202,Alquerubim,28,2.11,19,1.43,1,1327,65.05,0,28.49,29.53,378,0,35.27,36.56,468,0,20.42,21.17,271,0,3.01,3.13,40,0,2.94,3.05,39,0,0.53,0.55,7,0,1.36,1.41,18,0,0.98,1.02,13,0,1.96,2.03,26,0,0.00,0.00,0,0,0.68,0.70,9,0,0.00,0.00,0,0,0.15,0.16,2,0,0.30,0.31,4,0,0.15,0.16,2,0,0.08,0.08,1,0,0.15,0.16,2,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,31,0,3092,3092
LOCAL-010203,Angeja,23,1.96,18,1.53,1,1176,66.44,0,30.44,31.54,358,0,29.42,30.48,346,0,21.77,22.56,256,0,3.66,3.79,43,0,3.23,3.35,38,0,1.36,1.41,16,0,1.87,1.94,22,0,1.28,1.32,15,0,1.96,2.03,23,0,0.00,0.00,0,0,0.60,0.62,7,0,0.00,0.00,0,0,0.09,0.09,1,0,0.85,0.88,10,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,31,0,3092,3092
LOCAL-010204,Branca,54,1.67,33,1.02,1,3237,64.93,0,21.56,22.16,698,0,39.67,40.76,1284,0,21.81,22.41,706,0,3.89,4.00,126,0,2.50,2.57,81,0,1.02,1.05,33,0,2.01,2.06,65,0,1.42,1.46,46,0,2.19,2.25,71,0,0.00,0.00,0,0,0.28,0.29,9,0,0.00,0.00,0,0,0.25,0.25,8,0,0.37,0.38,12,0,0.09,0.10,3,0,0.19,0.19,6,0,0.06,0.06,2,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,31,0,3092,3092
LOCAL-010206,Ribeira de Fráguas,19,1.98,6,0.63,1,958,68.33,0,23.38,24.01,224,0,44.05,45.23,422,0,18.16,18.65,174,0,2.30,2.36,22,0,3.13,3.22,30,0,0.73,0.75,7,0,2.09,2.14,20,0,1.04,1.07,10,0,1.46,1.50,14,0,0.00,0.00,0,0,0.73,0.75,7,0,0.00,0.00,0,0,0.10,0.11,1,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.21,0.21,2,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,31,0,3092,3092
LOCAL-010209,Albergaria-a-Velha e Valmaior,104,1.68,74,1.19,1,6197,63.60,0,21.83,22.48,1353,0,37.41,38.51,2318,0,21.40,22.03,1326,0,4.84,4.98,300,0,3.49,3.59,216,0,1.13,1.16,70,0,2.16,2.23,134,0,1.87,1.93,116,0,1.76,1.81,109,0,0.00,0.00,0,0,0.55,0.56,34,0,0.00,0.00,0,0,0.19,0.20,12,0,0.24,0.25,15,0,0.21,0.22,13,0,0.02,0.02,1,0,0.03,0.03,2,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,31,0,3092,3092
LOCAL-010210,São João de Loure e Frossos,21,1.26,25,1.50,1,1667,66.47,0,24.18,24.86,403,0,35.69,36.71,595,0,23.04,23.69,384,0,3.84,3.95,64,0,3.66,3.76,61,0,0.96,0.99,16,0,1.74,1.79,29,0,1.32,1.36,22,0,1.86,1.91,31,0,0.00,0.00,0,0,0.66,0.68,11,0,0.00,0.00,0,0,0.12,0.12,2,0,0.06,0.06,1,0,0.12,0.12,2,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,31,0,3092,3092
